title,description,content,source,published_at,url,text,label,ml_score,base_score,risk_score,final_score,risk_level
AI-driven Bot Attacks Surged 12.5x According to Thales Bad Bot Report,"AI-driven automation is accelerating machine activity online as bots outpace humans and redefine how the internet operates Bots now dominate the internet, accounting for over half of all traffic, with 40% classified as malicious. AI is erasing the line betwee…","AI-driven automation is accelerating machine activity online as bots outpace humans and redefine how the internet operates
THIS CONTENT IS RESERVED FOR SUBSCRIBERS ONLY
Subscribe now to read the la… [+8008 chars]",Financial Post,2026-04-29T07:07:24Z,https://financialpost.com/pmn/business-wire-news-releases-pmn/ai-driven-bot-attacks-surged-12-5x-according-to-thales-bad-bot-report,"ai-driven bot attacks surged 12.5x according to thales bad bot report ai-driven automation is accelerating machine activity online as bots outpace humans and redefine how the internet operates bots now dominate the internet, accounting for over half of all traffic, with 40% classified as malicious. ai is erasing the line betwee…",0,0.1,1,0.25,0.205,Low
"AI bot attacks increase 10-fold, report reveals","Around 40 per cent of web traffic is now made up of so-called bad bots, report reveals","The number of cyber attacks on the internet carried out by artificial intelligence bots has increased more than 10-fold over the last year, new research has found.
Daily AI-enabled bot attacks rose … [+1917 chars]",The-independent.com,2026-04-29T07:00:09Z,https://www.the-independent.com/tech/security/ai-bots-bad-bot-report-thales-b2966754.html,"ai bot attacks increase 10-fold, report reveals around 40 per cent of web traffic is now made up of so-called bad bots, report reveals",0,0.06,1,0.25,0.19299999999999998,Low
Annual report and financial statements for the year ended 31 December 2025,OCTOPUS TITAN VCT PLC  Annual report and financial statements for the year ended 31 December 2025  Octopus Titan VCT plc (‘Titan’ or the ‘Company’) is...,"OCTOPUS TITAN VCT PLC
Annual report and financial statements for the year ended 31 December 2025
Octopus Titan VCT plc (Titan or the Company) is managed by Octopus AIF Management Limited (the Manag… [+106884 chars]",GlobeNewswire,2026-04-29T06:00:00Z,https://www.globenewswire.com/news-release/2026/04/29/3283454/0/en/Annual-report-and-financial-statements-for-the-year-ended-31-December-2025.html,annual report and financial statements for the year ended 31 december 2025 octopus titan vct plc  annual report and financial statements for the year ended 31 december 2025  octopus titan vct plc (‘titan’ or the ‘company’) is...,0,0.04,0,0.0,0.012,Low
How India should prepare for the Mythos era,"India's task is neither to dismiss the alarm nor to buy into the hype, but to build cybersecurity resilience at every layer","The American AI company, Anthropic, has recently announced that its newest model, Claude Mythos, surpasses all but the most skilled humans at finding and exploiting software vulnerabilities. It claim… [+5045 chars]",The Indian Express,2026-04-29T04:40:55Z,https://indianexpress.com/article/opinion/columns/anthropic-claude-how-india-should-prepare-for-the-mythos-era-10661497/,"how india should prepare for the mythos era india's task is neither to dismiss the alarm nor to buy into the hype, but to build cybersecurity resilience at every layer",0,0.05,0,0.0,0.015,Low
Whole-of-state cyber defense: How AI-driven security helps US states protect what matters most,"State and local governments in the United States face growing cyber threats but uneven security resources across agencies. A whole-of-state security model enables shared visibility, coordination, and resilience without sacrificing data sovereignty.","Why are US states rethinking how they defend against cyber threats?
This shift toward collective cyber defense is a cornerstone of the new federal vision. The March 2026 National Cyber Strategy for … [+12075 chars]",Elastic.co,2026-04-29T00:00:00Z,https://www.elastic.co/blog/whole-of-state-cyber-defense,"whole-of-state cyber defense: how ai-driven security helps us states protect what matters most state and local governments in the united states face growing cyber threats but uneven security resources across agencies. a whole-of-state security model enables shared visibility, coordination, and resilience without sacrificing data sovereignty.",0,0.06,0,0.0,0.018,Low
Smart Firms Treat Vendor Risk Like Their Own,"Artificial intelligence has opened up Pandora’s box for enterprise cybersecurity. And what it found was that the modern enterprise is no longer a closed system. It is a web of dependencies, stitched together by software vendors, cloud providers, and outsource…","Artificial intelligence has opened up Pandoras box for enterprise cybersecurity. And what it found was that the modern enterprise is no longer a closed system. It is a web of dependencies, stitched t… [+5184 chars]",pymnts.com,2026-04-28T23:42:59Z,https://www.pymnts.com/cybersecurity/2026/smart-firms-treat-vendor-risk-like-their-own/,"smart firms treat vendor risk like their own artificial intelligence has opened up pandora’s box for enterprise cybersecurity. and what it found was that the modern enterprise is no longer a closed system. it is a web of dependencies, stitched together by software vendors, cloud providers, and outsource…",0,0.07,0,0.0,0.021,Low
Always-on defence becomes critical as AI accelerates cyber threats: Infotrust,Cybersecurity leaders are warning that organisations must adopt an &#8220;always-on&#8221; defence model as attackers increasingly leverage automation and artificial intelligence to accelerate cyber attacks.,"“Attackers have access to the same AI tools and technologies that we use to defend ourselves,” says Simon McKay, CEO of Cyber at Infotrust.
In this edition of Cyber Strategy Brief for iTnews, McKay … [+1539 chars]",iTnews,2026-04-28T22:00:00Z,https://www.itnews.com.au/video/always-on-defence-becomes-critical-as-ai-accelerates-cyber-threats-infotrust-624683,always-on defence becomes critical as ai accelerates cyber threats: infotrust cybersecurity leaders are warning that organisations must adopt an &#8220;always-on&#8221; defence model as attackers increasingly leverage automation and artificial intelligence to accelerate cyber attacks.,1,0.69,4,1.0,0.9069999999999999,High
FBI brings alleged China-linked hacker to US in rare extradition as Patel defends Italy trip,"FBI Directo Kash Patel says the FBI arrested alleged Chinese hacker Xu Zewei, accused of targeting U.S. universities and COVID-19 vaccine research for Beijing.","FBI Director Kash Patel says a trip to Italy that raised questions earlier in 2026 helped set the stage for the arrest of a Chinese national accused of hacking U.S. COVID-19 research. 
Xu Zewei is n… [+5036 chars]",Fox News,2026-04-28T21:48:19Z,https://www.foxnews.com/politics/fbi-brings-alleged-china-linked-hacker-us-rare-extradition-patel-defends-italy-trip,"fbi brings alleged china-linked hacker to us in rare extradition as patel defends italy trip fbi directo kash patel says the fbi arrested alleged chinese hacker xu zewei, accused of targeting u.s. universities and covid-19 vaccine research for beijing.",0,0.07,0,0.0,0.021,Low
"Built In, Not Bolted On: What AI-Native Actually Means in Cybersecurity","* AI-native applications need to be architected with intelligence at the core, not layered on afterward.
* In cybersecurity, proprietary telemetry creates a defensible advantage that generic SaaS models cannot replicate.
* Cross-functional alignment starts …","Cybersecurity companies face a paradox. Their customers keep adding more security tools, expecting more protection. But the data increasingly shows that tool sprawl makes organizations slower to dete… [+7753 chars]",Databricks.com,2026-04-28T21:37:12Z,https://www.databricks.com/blog/built-not-bolted-what-ai-native-actually-means-cybersecurity,"built in, not bolted on: what ai-native actually means in cybersecurity * ai-native applications need to be architected with intelligence at the core, not layered on afterward.
* in cybersecurity, proprietary telemetry creates a defensible advantage that generic saas models cannot replicate.
* cross-functional alignment starts …",0,0.08,0,0.0,0.024,Low
Tech Group Urges FCC to Scrap Wi-Fi Router Ban's Software Update Cutoff,"Under the current FCC order, foreign-made Wi-Fi routers can only receive software updates until March 1, 2027. The Consumer Technology Association wants that deadline extended.
A major tech industry group is urging the Federal Communications Commission to rev…",A major tech industry group is urging the Federal Communications Commission to revise perhaps the most controversial part of its foreign-made Wi-Fi router ban: blocking software updates to affected d… [+3336 chars],PCMag.com,2026-04-28T21:19:35Z,https://me.pcmag.com/en/wireless-routers/36817/tech-group-urges-fcc-to-scrap-wi-fi-router-bans-software-update-cutoff,"tech group urges fcc to scrap wi-fi router ban's software update cutoff under the current fcc order, foreign-made wi-fi routers can only receive software updates until march 1, 2027. the consumer technology association wants that deadline extended.
a major tech industry group is urging the federal communications commission to rev…",0,0.02,0,0.0,0.006,Low
